;ts;km;value;kmu;vu;tsu
Temp;699;99;99;0,1;0,1;1
Temp;700;100;100;0,1;0,1;1
Temp;701;1;1;0,1;0,1;1
Temp;702;2;2;0,1;0,1;1
Temp;703;3;3;0,1;0,1;1
Temp;704;4;4;0,1;0,1;1
Temp;705;5;5;0,1;0,1;1
Temp;706;6;6;0,1;0,1;1
Temp;707;7;7;0,1;0,1;1
Temp;708;8;8;0,1;0,1;1
Temp;709;9;9;0,1;0,1;1
Temp;710;10;10;0,1;0,1;1
Temp;711;11;11;0,1;0,1;1
Temp;712;12;12;0,1;0,1;1
Temp;713;13;13;0,1;0,1;1
Temp;714;14;14;0,1;0,1;1
Temp;715;15;15;0,1;0,1;1
Temp;716;16;16;0,1;0,1;1
Temp;717;17;17;0,1;0,1;1
Temp;718;18;18;0,1;0,1;1
Temp;719;19;19;0,1;0,1;1
Temp;720;20;20;0,1;0,1;1
Temp;721;21;21;0,1;0,1;1
Temp;722;22;22;0,1;0,1;1
Temp;723;23;23;0,1;0,1;1
Temp;724;24;24;0,1;0,1;1
Temp;725;25;25;0,1;0,1;1
Temp;726;26;26;0,1;0,1;1
Temp;727;27;27;0,1;0,1;1
Temp;728;28;28;0,1;0,1;1
Temp;729;29;29;0,1;0,1;1
Temp;730;30;30;0,1;0,1;1
Temp;731;31;31;0,1;0,1;1
Temp;732;32;32;0,1;0,1;1
Temp;733;33;33;0,1;0,1;1
Temp;734;34;34;0,1;0,1;1
Temp;735;35;35;0,1;0,1;1
Temp;736;36;36;0,1;0,1;1
Temp;737;37;37;0,1;0,1;1
Temp;738;38;38;0,1;0,1;1
Temp;739;39;39;0,1;0,1;1
Temp;740;40;40;0,1;0,1;1
Temp;741;41;41;0,1;0,1;1
Temp;742;42;42;0,1;0,1;1
Temp;743;43;43;0,1;0,1;1
Temp;744;44;44;0,1;0,1;1
Temp;745;45;45;0,1;0,1;1
Temp;746;46;46;0,1;0,1;1
Temp;747;47;47;0,1;0,1;1
Temp;748;48;48;0,1;0,1;1
Temp;749;49;49;0,1;0,1;1
Temp;750;50;50;0,1;0,1;1
Temp;751;51;51;0,1;0,1;1
Temp;752;52;52;0,1;0,1;1
Temp;753;53;53;0,1;0,1;1
Temp;754;54;54;0,1;0,1;1
Temp;755;55;55;0,1;0,1;1
Temp;756;56;56;0,1;0,1;1
Temp;757;57;57;0,1;0,1;1
Temp;758;58;58;0,1;0,1;1
Temp;759;59;59;0,1;0,1;1
Temp;760;60;60;0,1;0,1;1
Temp;761;61;61;0,1;0,1;1
Temp;762;62;62;0,1;0,1;1
Temp;763;63;63;0,1;0,1;1
Temp;764;64;64;0,1;0,1;1
Temp;765;65;65;0,1;0,1;1
Temp;766;66;66;0,1;0,1;1
Temp;767;67;67;0,1;0,1;1
Temp;768;68;68;0,1;0,1;1
Temp;769;69;69;0,1;0,1;1
Temp;770;70;70;0,1;0,1;1
Temp;771;71;71;0,1;0,1;1
Temp;772;72;72;0,1;0,1;1
Temp;773;73;73;0,1;0,1;1
Temp;774;74;74;0,1;0,1;1
Temp;775;75;75;0,1;0,1;1
Temp;776;76;76;0,1;0,1;1
Temp;777;77;77;0,1;0,1;1
Temp;778;78;78;0,1;0,1;1
Temp;779;79;79;0,1;0,1;1
Temp;780;80;80;0,1;0,1;1
Temp;781;81;81;0,1;0,1;1
Temp;782;82;82;0,1;0,1;1
Temp;783;83;83;0,1;0,1;1
Temp;784;84;84;0,1;0,1;1
Temp;785;85;85;0,1;0,1;1
Temp;786;86;86;0,1;0,1;1
Temp;787;87;87;0,1;0,1;1
Temp;788;88;88;0,1;0,1;1
Temp;789;89;89;0,1;0,1;1
Temp;790;90;90;0,1;0,1;1
Temp;791;91;91;0,1;0,1;1
Temp;792;92;92;0,1;0,1;1
Temp;793;93;93;0,1;0,1;1
Temp;794;94;94;0,1;0,1;1
Temp;795;95;95;0,1;0,1;1
Temp;796;96;96;0,1;0,1;1
Temp;797;97;97;0,1;0,1;1
Temp;798;98;98;0,1;0,1;1
Temp;799;99;99;0,1;0,1;1
Temp;800;100;100;0,1;0,1;1
Temp;801;1;1;0,1;0,1;1
Temp;802;2;2;0,1;0,1;1
Temp;803;3;3;0,1;0,1;1
Temp;804;4;4;0,1;0,1;1
Temp;805;5;5;0,1;0,1;1
Temp;806;6;6;0,1;0,1;1
Temp;807;7;7;0,1;0,1;1
Temp;808;8;8;0,1;0,1;1
Temp;809;9;9;0,1;0,1;1
Temp;810;10;10;0,1;0,1;1
Temp;811;11;11;0,1;0,1;1
Temp;812;12;12;0,1;0,1;1
Temp;813;13;13;0,1;0,1;1
Temp;814;14;14;0,1;0,1;1
Temp;815;15;15;0,1;0,1;1
Temp;816;16;16;0,1;0,1;1
Temp;817;17;17;0,1;0,1;1
Temp;818;18;18;0,1;0,1;1
Temp;819;19;19;0,1;0,1;1
Temp;820;20;20;0,1;0,1;1
Temp;821;21;21;0,1;0,1;1
Temp;822;22;22;0,1;0,1;1
Temp;823;23;23;0,1;0,1;1
Temp;824;24;24;0,1;0,1;1
Temp;825;25;25;0,1;0,1;1
Temp;826;26;26;0,1;0,1;1
Temp;827;27;27;0,1;0,1;1
Temp;828;28;28;0,1;0,1;1
Temp;829;29;29;0,1;0,1;1
Temp;830;30;30;0,1;0,1;1
Temp;831;31;31;0,1;0,1;1
Temp;832;32;32;0,1;0,1;1
Temp;833;33;33;0,1;0,1;1
Temp;834;34;34;0,1;0,1;1
Temp;835;35;35;0,1;0,1;1
Temp;836;36;36;0,1;0,1;1
Temp;837;37;37;0,1;0,1;1
Temp;838;38;38;0,1;0,1;1
Temp;839;39;39;0,1;0,1;1
Temp;840;40;40;0,1;0,1;1
Temp;841;41;41;0,1;0,1;1
Temp;842;42;42;0,1;0,1;1
Temp;843;43;43;0,1;0,1;1
Temp;844;44;44;0,1;0,1;1
Temp;845;45;45;0,1;0,1;1
Temp;846;46;46;0,1;0,1;1
Temp;847;47;47;0,1;0,1;1
Temp;848;48;48;0,1;0,1;1
Temp;849;49;49;0,1;0,1;1
Temp;850;50;50;0,1;0,1;1
Temp;851;51;51;0,1;0,1;1
Temp;852;52;52;0,1;0,1;1
Temp;853;53;53;0,1;0,1;1
Temp;854;54;54;0,1;0,1;1
Temp;855;55;55;0,1;0,1;1
Temp;856;56;56;0,1;0,1;1
Temp;857;57;57;0,1;0,1;1
Temp;858;58;58;0,1;0,1;1
Temp;859;59;59;0,1;0,1;1
Temp;860;60;60;0,1;0,1;1
Temp;861;61;61;0,1;0,1;1
Temp;862;62;62;0,1;0,1;1
Temp;863;63;63;0,1;0,1;1
Temp;864;64;64;0,1;0,1;1
Temp;865;65;65;0,1;0,1;1
Temp;866;66;66;0,1;0,1;1
Temp;867;67;67;0,1;0,1;1
Temp;868;68;68;0,1;0,1;1
Temp;869;69;69;0,1;0,1;1
Temp;870;70;70;0,1;0,1;1
Temp;871;71;71;0,1;0,1;1
Temp;872;72;72;0,1;0,1;1
Temp;873;73;73;0,1;0,1;1
Temp;874;74;74;0,1;0,1;1
Temp;875;75;75;0,1;0,1;1
Temp;876;76;76;0,1;0,1;1
Temp;877;77;77;0,1;0,1;1
Temp;878;78;78;0,1;0,1;1
Temp;879;79;79;0,1;0,1;1
Temp;880;80;80;0,1;0,1;1
Temp;881;81;81;0,1;0,1;1
Temp;882;82;82;0,1;0,1;1
Temp;883;83;83;0,1;0,1;1
Temp;884;84;84;0,1;0,1;1
Temp;885;85;85;0,1;0,1;1
Temp;886;86;86;0,1;0,1;1
Temp;887;87;87;0,1;0,1;1
Temp;888;88;88;0,1;0,1;1
Temp;889;89;89;0,1;0,1;1
Temp;890;90;90;0,1;0,1;1
Temp;891;91;91;0,1;0,1;1
Temp;892;92;92;0,1;0,1;1
Temp;893;93;93;0,1;0,1;1
Temp;894;94;94;0,1;0,1;1
Temp;895;95;95;0,1;0,1;1
Temp;896;96;96;0,1;0,1;1
Temp;897;97;97;0,1;0,1;1
Temp;898;98;98;0,1;0,1;1
Temp;899;99;99;0,1;0,1;1
Temp;900;100;100;0,1;0,1;1
Temp;901;1;1;0,1;0,1;1
Temp;902;2;2;0,1;0,1;1
Temp;903;3;3;0,1;0,1;1
Temp;904;4;4;0,1;0,1;1
Temp;905;5;5;0,1;0,1;1
Temp;906;6;6;0,1;0,1;1
Temp;907;7;7;0,1;0,1;1
Temp;908;8;8;0,1;0,1;1
Temp;909;9;9;0,1;0,1;1
Temp;910;10;10;0,1;0,1;1
Temp;911;11;11;0,1;0,1;1
Temp;912;12;12;0,1;0,1;1
Temp;913;13;13;0,1;0,1;1
Temp;914;14;14;0,1;0,1;1
Temp;915;15;15;0,1;0,1;1
Temp;916;16;16;0,1;0,1;1
Temp;917;17;17;0,1;0,1;1
Temp;918;18;18;0,1;0,1;1
Temp;919;19;19;0,1;0,1;1
Temp;920;20;20;0,1;0,1;1
Temp;921;21;21;0,1;0,1;1
Temp;922;22;22;0,1;0,1;1
Temp;923;23;23;0,1;0,1;1
Temp;924;24;24;0,1;0,1;1
Temp;925;25;25;0,1;0,1;1
Temp;926;26;26;0,1;0,1;1
Temp;927;27;27;0,1;0,1;1
Temp;928;28;28;0,1;0,1;1
Temp;929;29;29;0,1;0,1;1
Temp;930;30;30;0,1;0,1;1
Temp;931;31;31;0,1;0,1;1
Temp;932;32;32;0,1;0,1;1
Temp;933;33;33;0,1;0,1;1
Temp;934;34;34;0,1;0,1;1
Temp;935;35;35;0,1;0,1;1
Temp;936;36;36;0,1;0,1;1
Temp;937;37;37;0,1;0,1;1
Temp;938;38;38;0,1;0,1;1
Temp;939;39;39;0,1;0,1;1
Temp;940;40;40;0,1;0,1;1
Temp;941;41;41;0,1;0,1;1
Temp;942;42;42;0,1;0,1;1
Temp;943;43;43;0,1;0,1;1
Temp;944;44;44;0,1;0,1;1
Temp;945;45;45;0,1;0,1;1
Temp;946;46;46;0,1;0,1;1
Temp;947;47;47;0,1;0,1;1
Temp;948;48;48;0,1;0,1;1
Temp;949;49;49;0,1;0,1;1
Temp;950;50;50;0,1;0,1;1
Temp;951;51;51;0,1;0,1;1
Temp;952;52;52;0,1;0,1;1
Temp;953;53;53;0,1;0,1;1
Temp;954;54;54;0,1;0,1;1
Temp;955;55;55;0,1;0,1;1
Temp;956;56;56;0,1;0,1;1
Temp;957;57;57;0,1;0,1;1
Temp;958;58;58;0,1;0,1;1
Temp;959;59;59;0,1;0,1;1
Temp;960;60;60;0,1;0,1;1
Temp;961;61;61;0,1;0,1;1
Temp;962;62;62;0,1;0,1;1
Temp;963;63;63;0,1;0,1;1
Temp;964;64;64;0,1;0,1;1
Temp;965;65;65;0,1;0,1;1
Temp;966;66;66;0,1;0,1;1
Temp;967;67;67;0,1;0,1;1
Temp;968;68;68;0,1;0,1;1
Temp;969;69;69;0,1;0,1;1
Temp;970;70;70;0,1;0,1;1
Temp;971;71;71;0,1;0,1;1
Temp;972;72;72;0,1;0,1;1
Temp;973;73;73;0,1;0,1;1
Temp;974;74;74;0,1;0,1;1
Temp;975;75;75;0,1;0,1;1
Temp;976;76;76;0,1;0,1;1
Temp;977;77;77;0,1;0,1;1
Temp;978;78;78;0,1;0,1;1
Temp;979;79;79;0,1;0,1;1
Temp;980;80;80;0,1;0,1;1
Temp;981;81;81;0,1;0,1;1
Temp;982;82;82;0,1;0,1;1
Temp;983;83;83;0,1;0,1;1
Temp;984;84;84;0,1;0,1;1
Temp;985;85;85;0,1;0,1;1
Temp;986;86;86;0,1;0,1;1
Temp;987;87;87;0,1;0,1;1
Temp;988;88;88;0,1;0,1;1
Temp;989;89;89;0,1;0,1;1
Temp;990;90;90;0,1;0,1;1
Temp;991;91;91;0,1;0,1;1
Temp;992;92;92;0,1;0,1;1
Temp;993;93;93;0,1;0,1;1
Temp;994;94;94;0,1;0,1;1
Temp;995;95;95;0,1;0,1;1
Temp;996;96;96;0,1;0,1;1
Temp;997;97;97;0,1;0,1;1
Temp;998;98;98;0,1;0,1;1
Temp;999;99;99;0,1;0,1;1
Temp;1000;100;100;0,1;0,1;1
